date,campaign_name,adset_name,ad_name,spend,impressions,reach,clicks,ctr,inline_link_click_ctr,cpm,installs,video_3s,cost_per_install,quality_ranking,engagement_rate_ranking,conversion_rate_ranking,currency
2026-07-09,Eden_EnglishTutor_Global_Install_Max,9/7,New App promotion Ad,25537,1993,1262,13,0.652283,0.702459,12813.346714,2,,,UNKNOWN,UNKNOWN,UNKNOWN,VND
2026-07-09,Eden_EnglishTutor_Global_Install_Max,9/7,Text Translate Chat Translator-360 X 640-2026-07-07-265964d50a4ba4bb50dad3dffc4295c2-outro.mp4,642,30,29,0,0,,21400,,5,,UNKNOWN,UNKNOWN,UNKNOWN,VND
2026-07-09,Eden_EnglishTutor_Global_Install_Max,9/7,BetterSpeak_ AI Language Tutor-360 X 360-2026-07-07-f7edcde36a6aabbcdb96cc65c1b7f8ee-outro.mp4,7468,511,357,8,1.565558,1.761252,14614.481409,,267,,UNKNOWN,UNKNOWN,UNKNOWN,VND
2026-07-09,Eden_EnglishTutor_Global_Install_Max,9/7,Speak English with Loora AI-360 X 640-2026-07-07-d96e140252d559bcb17f8c4de5b66601-outro.mp4,155661,4114,2982,76,1.847351,2.090423,37836.898396,33,1300,,UNKNOWN,UNKNOWN,UNKNOWN,VND
2026-07-09,Eden_EnglishTutor_Global_Install_Max,9/7,Voice Translator & AI and Fast-360 X 640-2026-07-07-bd9d024a1cbf041f09d5fc03924b568d-outro.mp4,9034,222,206,1,0.45045,0.45045,40693.693694,,82,,UNKNOWN,UNKNOWN,UNKNOWN,VND
2026-07-09,Eden_EnglishTutor_Global_Install_Max,9/7,BetterSpeak_ AI Language Tutor-720 X 1280-2026-07-07-2a8df0b4f047040f6a437b2e5d447f44-outro.mp4,13580,461,401,6,1.301518,1.301518,29457.700651,3,175,,UNKNOWN,UNKNOWN,UNKNOWN,VND
2026-07-09,Eden_EnglishTutor_Global_Install_Max,9/7,Praktika – AI Language Tutor-360 X 640-2026-07-07-510f7d61f121f889fb97da516e19cac0-outro.mp4,2069,106,96,0,0,,19518.867925,,28,,UNKNOWN,UNKNOWN,UNKNOWN,VND
2026-07-09,Eden_EnglishTutor_Global_Install_Max,9/7,Speak English with Loora AI-360 X 640-2026-07-07-010afa428d1a1e337f46750bd8fae5d5-outro.mp4,1467,27,25,0,0,,54333.333333,,11,,UNKNOWN,UNKNOWN,UNKNOWN,VND
2026-07-09,Eden_EnglishTutor_Global_Install_Max,9/7,Speak English with Loora AI-360 X 640-2026-07-07-83480f2af0d409a017616669ed367c79-outro.mp4,911,32,28,1,3.125,3.125,28468.75,,15,,UNKNOWN,UNKNOWN,UNKNOWN,VND
2026-07-09,Eden_EnglishTutor_Global_Install_Max,9/7,Owl Translator-360 X 640-2026-07-07-8e6b076c391ecb7accefa0a02b1de447-outro.mp4,5852,196,164,7,3.571429,3.571429,29857.142857,,69,,UNKNOWN,UNKNOWN,UNKNOWN,VND
