date,campaign_name,country,spend,impressions,clicks,installs,currency
2026-07-05,Say_Global_Auto_Install_050726_All,JM,23,2,0,,VND
2026-07-05,Say_Global_Auto_Install_050726_All,JP,0,1,0,,VND
2026-07-05,Say_Global_Auto_Install_050726_All,JO,1020,25,0,,VND
2026-07-05,Say_Global_Auto_Install_050726_All,KZ,14,1,0,,VND
2026-07-05,Say_Global_Auto_Install_050726_All,KE,6993,310,6,2,VND
2026-07-05,Say_Global_Auto_Install_050726_All,KI,319,23,0,,VND
2026-07-05,Say_Global_Auto_Install_050726_All,KW,94,4,0,,VND
2026-07-05,Say_Global_Auto_Install_050726_All,KG,231,9,0,,VND
2026-07-05,Say_Global_Auto_Install_050726_All,LA,1136,22,1,1,VND
2026-07-05,Say_Global_Auto_Install_050726_All,LB,572,18,0,,VND
2026-07-05,Say_Global_Auto_Install_050726_All,LS,465,34,0,,VND
2026-07-05,Say_Global_Auto_Install_050726_All,LR,1845,170,3,1,VND
2026-07-05,Say_Global_Auto_Install_050726_All,LY,6439,472,10,2,VND
2026-07-05,Say_Global_Auto_Install_050726_All,MG,5871,611,8,2,VND
2026-07-05,Say_Global_Auto_Install_050726_All,MW,5215,666,7,1,VND
2026-07-05,Say_Global_Auto_Install_050726_All,MY,144,5,0,,VND
2026-07-05,Say_Global_Auto_Install_050726_All,MV,263,24,0,,VND
2026-07-05,Say_Global_Auto_Install_050726_All,ML,238,36,0,,VND
2026-07-05,Say_Global_Auto_Install_050726_All,MH,1,1,0,,VND
2026-07-05,Say_Global_Auto_Install_050726_All,MR,551,36,0,,VND
2026-07-05,Say_Global_Auto_Install_050726_All,MU,172,7,0,,VND
2026-07-05,Say_Global_Auto_Install_050726_All,MX,263,9,0,,VND
2026-07-05,Say_Global_Auto_Install_050726_All,MN,160,8,0,,VND
2026-07-05,Say_Global_Auto_Install_050726_All,MA,4435,333,7,1,VND
2026-07-05,Say_Global_Auto_Install_050726_All,MZ,1460,124,2,,VND
2026-07-05,Say_Global_Auto_Install_050726_All,MM,1344,74,2,,VND
2026-07-05,Say_Global_Auto_Install_050726_All,NA,571,21,0,,VND
2026-07-05,Say_Global_Auto_Install_050726_All,NR,8,1,0,,VND
2026-07-05,Say_Global_Auto_Install_050726_All,NP,6714,848,8,,VND
2026-07-05,Say_Global_Auto_Install_050726_All,NI,370,20,0,,VND
2026-07-05,Say_Global_Auto_Install_050726_All,NE,391,27,0,,VND
2026-07-05,Say_Global_Auto_Install_050726_All,NG,5686,320,6,,VND
2026-07-05,Say_Global_Auto_Install_050726_All,OM,414,9,2,,VND
2026-07-05,Say_Global_Auto_Install_050726_All,PK,32731,2724,51,10,VND
2026-07-05,Say_Global_Auto_Install_050726_All,PW,8,1,0,,VND
2026-07-05,Say_Global_Auto_Install_050726_All,PS,1504,44,0,,VND
2026-07-05,Say_Global_Auto_Install_050726_All,PA,127,3,0,,VND
2026-07-05,Say_Global_Auto_Install_050726_All,PG,1461,130,1,,VND
2026-07-05,Say_Global_Auto_Install_050726_All,PY,31,2,0,,VND
2026-07-05,Say_Global_Auto_Install_050726_All,PE,124,2,0,,VND
2026-07-05,Say_Global_Auto_Install_050726_All,PH,3371,103,2,,VND
2026-07-05,Say_Global_Auto_Install_050726_All,PR,38,2,0,,VND
2026-07-05,Say_Global_Auto_Install_050726_All,QA,188,7,0,,VND
2026-07-05,Say_Global_Auto_Install_050726_All,CG,398,50,0,,VND
2026-07-05,Say_Global_Auto_Install_050726_All,RW,863,130,1,,VND
2026-07-05,Say_Global_Auto_Install_050726_All,LC,46,1,0,,VND
2026-07-05,Say_Global_Auto_Install_050726_All,WS,95,7,0,,VND
2026-07-05,Say_Global_Auto_Install_050726_All,ST,32,4,0,,VND
2026-07-05,Say_Global_Auto_Install_050726_All,SA,516,14,2,,VND
2026-07-05,Say_Global_Auto_Install_050726_All,SN,404,42,1,,VND
