date,campaign_name,adset_name,ad_name,spend,impressions,reach,clicks,ctr,inline_link_click_ctr,cpm,installs,video_3s,cost_per_install,quality_ranking,engagement_rate_ranking,conversion_rate_ranking
2026-06-28,Cardia_Adr_India_Install_Roas_230626,Cardia_Adr_India_Install_Roas_230626_M_City,Cardia_Adr_India_Install_Roas_230626_CAR_A4_UGC_H1_EN_202606221659_clean,92919,6615,4816,285,4.30839,4.565382,14046.712018,21,471,,AVERAGE,AVERAGE,AVERAGE
2026-06-28,Cardia_US_Broad_Install_Volume_250626,Cardia_US_Broad_Install_Volume_260626_4566,Cardia_US_Broad_Install_Volume_260626_4566_All_CAR_A1_UGC_H1_US_clean,3607,3,3,0,0,,1202333.333333,,2,,UNKNOWN,UNKNOWN,UNKNOWN
2026-06-28,Cardia_US_Broad_Install_Volume_250626,Cardia_US_Broad_Install_Volume_260626_4566,Cardia_US_Broad_Install_Volume_260626_4566_All_CAR_A2_UGC_H1_US_clean,575,1,1,0,0,,575000,,,,UNKNOWN,UNKNOWN,UNKNOWN
2026-06-28,Cardia_US_Broad_Install_Volume_250626,Cardia_US_Broad_Install_Volume_260626_4566,Cardia_US_Broad_Install_Volume_260626_4566_All_CAR_A4_UGC_H1_US_clean,288,1,1,0,0,,288000,,,,UNKNOWN,UNKNOWN,UNKNOWN
2026-06-28,Cardia_US_Broad_Install_Volume_250626,Cardia_US_Broad_Install_Volume_260626_4566,Cardia_US_Broad_Install_Volume_260626_4566_All_CAR_A4_UGC_H2_US_clean,1138,6,4,0,0,,189666.666667,,,,UNKNOWN,UNKNOWN,UNKNOWN
2026-06-28,Cardia_US_Broad_Install_Volume_250626,Cardia_US_Broad_Install_Volume_260626_1844_All,Cardia_US_Broad_Install_Volume_260626_1844_All_CAR_A1_UGC_H1_US_clean,2550,4,3,0,0,,637500,,,,UNKNOWN,UNKNOWN,UNKNOWN
2026-06-28,Cardia_US_Broad_Install_Volume_250626,Cardia_US_Broad_Install_Volume_260626_1844_All,Cardia_US_Broad_Install_Volume_260626_1844_All_CAR_A4_UGC_H1_US_clean,3659,6,6,0,0,,609833.333333,,3,,UNKNOWN,UNKNOWN,UNKNOWN
2026-06-28,Cardia_US_Broad_Install_Volume_250626,Cardia_US_Broad_Install_Volume_260626_1844_All,Cardia_US_Broad_Install_Volume_260626_1844_All_CAR_A2_UGC_H1_US_clean,749,2,2,0,0,,374500,,,,UNKNOWN,UNKNOWN,UNKNOWN
2026-06-28,Cardia_US_Broad_Install_Volume_250626,Cardia_US_Broad_Install_Volume_260626_1844_All,Cardia_US_Broad_Install_Volume_260626_1844_All_CAR_A4_UGC_H2_US_clean,1675,1,1,0,0,,1675000,,,,UNKNOWN,UNKNOWN,UNKNOWN
2026-06-28,Cardia_Value_US_260626_Install,Cardia_Value_US_SouthUS_260626_Install_W_45,Cardia_Value_US_SouthUS_260626_Install_W_45_CAR_A1_UGC_H1_US_clean,99,3,2,0,0,,33000,,1,,UNKNOWN,UNKNOWN,UNKNOWN
